NAMNR,TAXONNAME,SPECIES,GENUS,EPITHET,AUTHOR,NATIVE,SUMMER,WINTER,BioDiv2005,COUNT,SCORE,ATTEMPTS,INCLUDE
4853,Ribes uva-crispa L.,Ribes uva-crispa,Ribes,uva-crispa,L.,1,1,1,0,0,0,0,1
4855,Robinia pseudoacacia L.,Robinia pseudoacacia,Robinia,pseudoacacia,L.,0,1,1,1,0,0,0,1
5066,Rubus idaeus L.,Rubus idaeus,Rubus,idaeus,L.,1,1,1,0,0,0,0,1
5146,Salix alba L.,Salix alba,Salix,alba,L.,1,1,1,0,0,0,0,1
5159,Salix caprea L.,Salix caprea,Salix,caprea,L.,1,1,1,0,0,0,0,1
5168,Salix fragilis L.,Salix fragilis,Salix,fragilis,L.,1,1,1,0,0,0,0,1
5188,Salix purpurea L.,Salix purpurea,Salix,purpurea,L.,1,1,1,0,0,0,0,1
5227,Sambucus nigra L.,Sambucus nigra,Sambucus,nigra,L.,1,1,1,1,0,0,0,1
5228,Sambucus racemosa L.,Sambucus racemosa,Sambucus,racemosa,L.,1,1,1,0,0,0,0,1
5697,Sorbus aria (L.) Crantz s. str.,Sorbus aria,Sorbus,aria,(L.) Crantz s. str.,1,1,1,0,0,0,0,1
5700,Sorbus aucuparia L.,Sorbus aucuparia,Sorbus,aucuparia,L.,1,1,1,1,0,0,0,1
5704,Sorbus domestica L.,Sorbus domestica,Sorbus,domestica,L.,1,1,1,0,0,0,0,1
5711,Sorbus torminalis (L.) Crantz,Sorbus torminalis,Sorbus,torminalis,(L.) Crantz,1,1,1,0,0,0,0,1
5829,Syringa vulgaris L.,Syringa vulgaris,Syringa,vulgaris,L.,0,1,1,0,0,0,0,1
5871,Taxus baccata L.,Taxus baccata,Taxus,baccata,L.,1,0,1,0,0,0,0,1
5968,Tilia cordata Mill.,Tilia cordata,Tilia,cordata,Mill.,1,1,1,1,0,0,0,1
5969,"Tilia platyphyllos Scop., nom. cons. prop.",Tilia platyphyllos,Tilia,platyphyllos,"Scop., nom. cons. prop.",1,1,1,1,0,0,0,1
6137,Ulmus glabra Huds.,Ulmus glabra,Ulmus,glabra,Huds.,1,1,1,1,0,0,0,1
6138,Ulmus laevis Pall.,Ulmus laevis,Ulmus,laevis,Pall.,1,1,1,0,0,0,0,1
6140,Ulmus minor Mill.,Ulmus minor,Ulmus,minor,Mill.,1,1,1,0,0,0,0,1
6160,Vaccinium myrtillus L.,Vaccinium myrtillus,Vaccinium,myrtillus,L.,1,1,1,0,0,0,0,1
6167,Vaccinium vitis-idaea L.,Vaccinium vitis-idaea,Vaccinium,vitis-idaea,L.,1,0,1,0,0,0,0,1
6295,Viburnum lantana L.,Viburnum lantana,Viburnum,lantana,L.,1,1,1,0,0,0,0,1
6296,Viburnum opulus L.,Viburnum opulus,Viburnum,opulus,L.,1,1,1,1,0,0,0,1
6348,Vinca minor L.,Vinca minor,Vinca,minor,L.,1,1,1,1,0,0,0,1
6528,Pseudotsuga menziesii (Mirb.) Franco,Pseudotsuga menziesii,Pseudotsuga,menziesii,(Mirb.) Franco,0,0,1,0,0,0,0,1
6797,Fraxinus pennsylvanica Marshall,Fraxinus pennsylvanica,Fraxinus,pennsylvanica,Marshall,0,1,1,0,0,0,0,1
6827,Larix kaempferi (Lam.) Carrière,Larix kaempferi,Larix,kaempferi,(Lam.) Carrière,0,1,1,0,0,0,0,1
6921,Pinus strobus L.,Pinus strobus,Pinus,strobus,L.,0,0,1,0,0,0,0,1
10001,Abies grandis (D. Don) Lindl.,Abies grandis,Abies,grandis,(D. Don) Lindl.,1,0,1,0,0,0,0,1
10003,Abies procera Rehder,Abies procera,Abies,procera,Rehder,1,0,1,0,0,0,0,1
10004,Abies nordmanniana (Steven) Spach,Abies nordmanniana,Abies,nordmanniana,(Steven) Spach,1,0,1,0,0,0,0,1
10142,Cedrus atlantica ,Cedrus atlantica,Cedrus,atlantica,,1,0,1,0,0,0,0,1
10162,Chamaecyparis lawsoniana (A. Murr.) Parl.,Chamaecyparis lawsoniana,Chamaecyparis,lawsoniana,(A. Murr.) Parl.,1,0,1,0,0,0,0,1
10720,Picea omorika (Pancic) Purk.,Picea omorika,Picea,omorika,(Pancic) Purk.,1,0,1,0,0,0,0,1
10721,Picea pungens Engelm.,Picea pungens,Picea,pungens,Engelm.,1,0,1,0,0,0,0,1
11070,Sequoiadendron giganteum ,Sequoiadendron giganteum,Sequoiadendron,giganteum,,1,0,1,0,0,0,0,1
11225,Taxodium distichum ,Taxodium distichum,Taxodium,distichum,,0,1,1,0,0,0,0,1
11228,Thuja plicata ,Thuja plicata,Thuja,plicata,,1,0,1,0,0,0,0,1
11245,Tsuga heterophylla (Raf.) Sarg.,Tsuga heterophylla,Tsuga,heterophylla,(Raf.) Sarg.,1,0,1,0,0,0,0,1
11246,Tsuga canadensis (L.) Carr.,Tsuga canadensis,Tsuga,canadensis,(L.) Carr.,1,0,1,0,0,0,0,1
11767,Alnus viridis (Chaix) DC.,Alnus viridis,Alnus,viridis,(Chaix) DC.,1,1,1,0,0,0,0,1
21680,"Erica carnea L. , nom. cons.",Erica carnea,Erica,carnea,"L. , nom. cons.",1,1,1,0,0,0,0,1
1707,Crataegus monogyna Jacq.,Crataegus monogyna,Crataegus,monogyna,Jacq.,1,0,1,1,0,0,0,1
26634,"Viscum album L., s. l.",Viscum album,Viscum,album,"L., s. l.",1,0,1,1,0,0,0,1
50075,Platanus x hispanica Mill. ex Münchh.,Platanus x hispanica,Platanus,x hispanica,Mill. ex Münchh.,0,1,1,0,0,0,0,1
830,Betula pubescens Ehrh.,Betula pubescens,Betula,pubescens,Ehrh.,1,1,1,0,0,0,0,1
10649,Metasequoia glyptostroboides,Metasequoia glyptostroboides,Metasequoia,glyptostroboides,,0,1,1,0,0,0,0,1
4686,Quercus rubra L.,Quercus rubra,Quercus,rubra,L.,0,1,1,0,0,0,0,1
10381,Ginkgo biloba,Ginkgo biloba,Ginkgo,biloba,,0,1,1,0,0,0,0,1
10614,Liriodendron tulipifera,Liriodendron tulipifera,Liriodendron,tulipifera,,0,1,1,0,0,0,0,1
376,"Amelanchier ovalis Medik., s. l.",Amelanchier ovalis,Amelanchier,ovalis,"Medik., s. l.",1,1,1,0,0,0,0,1
26519,"Prunus domestica L., s. l.",Prunus domestica,Prunus,domestica,"L., s. l.",1,1,1,0,0,0,0,1
4872,"Rosa canina L., s. l.",Rosa canina,Rosa,canina,"L., s. l.",1,1,1,0,0,0,0,1
11886,"Rubus fruticosus L., s. l.",Rubus fruticosus,Rubus,fruticosus,"L., s. l.",1,1,1,1,0,0,0,1
NA,Calocedrus decurrens (Torr.) Florin,Calocedrus decurrens,Calocedrus,decurrens,(Torr.) Florin,0,0,1,0,0,0,0,1
30713,Cryptomeria japonica,Cryptomeria japonica,Cryptomeria,japonica,,0,0,1,0,0,0,0,1
3168,"Juniperus communis L., s. l.",Juniperus communis,Juniperus,communis,"L., s. l.",1,0,1,0,0,0,0,1
6914,Picea sitchensis (Bong.) Carrière,Picea sitchensis,Picea,sitchensis,(Bong.) Carrière,0,0,1,0,0,0,0,1
NA,Sequoia sempervirens (D.Don) Endl.,Sequoia sempervirens,Sequoia,sempervirens,(D.Don) Endl.,0,0,1,0,0,0,0,1
34429,Platycladus orientalis (L.) Franco,Platycladus orientalis,Platycladus,orientalis,(L.) Franco,0,0,1,0,0,0,0,1
